*name,*admission_no,admission_date,*date_of_birth,*gender,blood_group,religion,caste,phone,email,national_id,student_type_id,academic group,*roll_no,registration_no,discount_id,second_language,present_address,permanent_address,health_condition,previous_school,previous_class,other_info,father_name,father_phone,father_education,father_profession,father_designation,mother_name,mother_phone,mother_education,mother_profession,mother_designation,gud_name,gud_phone,gud_email,gud_profession,gud_religion,gud_national_id,gud_present_address,gud_permanent_address,gud_other_info,relation_with_guardian
Student 1,101,,,male,b_positive,Islam,,,,,REGULAR,Science,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Student 2,101,,,female,b_positive,Islam,,,,,REGULAR,Science,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Student 3,101,,,male,b_positive,Islam,,,,,REGULAR,Science,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Student 4,101,,,female,b_positive,Islam,,,,,REGULAR,Science,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Student 5,101,,,male,b_positive,Islam,,,,,REGULAR,Science,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Student 6,101,,,female,b_positive,Islam,,,,,REGULAR,Science,6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Student 7,101,,,male,b_positive,Islam,,,,,REGULAR,Science,7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Student 8,101,,,female,b_positive,Islam,,,,,REGULAR,Science,8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Student 9,101,,,male,b_positive,Islam,,,,,REGULAR,Science,9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Student 10,101,,,female,b_positive,Islam,,,,,REGULAR,Science,10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
